,reaction,metabolite,sample_id,flux
5053,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer3,8.722491388224508e-12
5054,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer4,1.8419630612420446e-12
5055,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer5,1.5213227520823532e-11
5056,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer6,6.090003104068554e-07
5057,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer7,2.8131319730444506e-12
5058,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer8,4.1806514270855774e-11
5059,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy1,2.0246561186161363e-09
5060,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy2,1.6883608707219702e-13
5061,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy3,9.576535050711286e-09
5062,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy4,1.6494157787244107e-13
5063,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy5,2.362693484031923e-12
5064,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy6,4.1363205660521066e-11
5065,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy7,3.258070880734475e-13
5066,EX_MGlcn68_rl(e),MGlcn68_rl(e),Healthy8,9.178685156742389e-10
5067,EX_MGlcn69(e),MGlcn69(e),Cancer1,6.784906439469759e-10
5068,EX_MGlcn69(e),MGlcn69(e),Cancer2,6.225074611131336e-13
5069,EX_MGlcn69(e),MGlcn69(e),Cancer3,2.6707700172227638e-11
5070,EX_MGlcn69(e),MGlcn69(e),Cancer4,1.2865686358339523e-12
5071,EX_MGlcn69(e),MGlcn69(e),Cancer5,2.725655579859128e-12
5072,EX_MGlcn69(e),MGlcn69(e),Cancer6,1.612157210798208e-07
5073,EX_MGlcn69(e),MGlcn69(e),Cancer7,1.332204695222681e-12
5074,EX_MGlcn69(e),MGlcn69(e),Cancer8,2.1231692691406435e-11
5075,EX_MGlcn69(e),MGlcn69(e),Healthy1,8.680733774640005e-10
5076,EX_MGlcn69(e),MGlcn69(e),Healthy2,1.877337213839732e-13
5077,EX_MGlcn69(e),MGlcn69(e),Healthy3,1.3280033915583886e-08
5078,EX_MGlcn69(e),MGlcn69(e),Healthy4,4.7098910185141095e-14
5079,EX_MGlcn69(e),MGlcn69(e),Healthy5,1.1453860183754253e-12
5080,EX_MGlcn69(e),MGlcn69(e),Healthy6,9.158667102522738e-12
5081,EX_MGlcn69(e),MGlcn69(e),Healthy7,1.5630508397323418e-13
5082,EX_MGlcn69(e),MGlcn69(e),Healthy8,2.68041534233787e-09
5083,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer1,3.0453630762854475e-10
5084,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer2,2.1719268638961352e-13
5085,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer3,2.511373050334307e-11
5086,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer4,3.5270790588440554e-12
5087,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer5,1.3647282587657536e-11
5088,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer6,1.701103832641929e-07
5089,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer7,7.333987224337603e-13
5090,EX_MGlcn69_rl(e),MGlcn69_rl(e),Cancer8,4.350066265880985e-11
5091,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy1,8.476374800314191e-10
5092,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy2,1.3002616859490546e-13
5093,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy3,3.919307540550591e-09
5094,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy4,7.219948865129508e-14
5095,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy5,1.9721303733375134e-12
5096,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy6,3.015616054221406e-11
5097,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy7,2.619570465397213e-13
5098,EX_MGlcn69_rl(e),MGlcn69_rl(e),Healthy8,1.234792146354173e-09
5099,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer1,1.3396193888641532e-09
5100,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer2,5.851090486352092e-13
5101,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer3,1.5844630991800803e-11
5102,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer4,2.422553738553861e-12
5103,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer5,5.320552387018827e-15
5104,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer6,6.959311190110291e-07
5105,EX_MGlcn6_rl(e),MGlcn6_rl(e),Cancer7,1.203492108887349e-12
5106,EX_MGlcn6_rl(e),MGlcn6_rl(e),Healthy2,1.5007086436354482e-12
5107,EX_MGlcn6_rl(e),MGlcn6_rl(e),Healthy3,1.464680791496681e-09
